DwName,VizPic,Link,WeekNumber,RealName
katiekilroy,,https://public.tableau.com/views/MeatConsumptionintheUS_0/DB?:embed=y&:display_count=yes,1,Katie Kilroy
mesum,,https://datastudio.google.com/embed/reporting/1cP8wO0kzJ_nJy427umpZIZDdw23Hk7Mj/page/vnsL,1,Mesum Raza Hemani
kateb,,https://public.tableau.com/views/MOM2018Week1/BeefandChickenConsumptionintheUS,1,Kate Brown
profdrkschulte,,https://public.tableau.com/profile/klaus.schulte#!/vizhome/PeopleintheUSAreEatingMoreChickenThanEver/Dashboard1,1,Klaus Schulte
jtrefethen,,https://public.tableau.com/profile/jtrefethen#!/vizhome/2018MMWeek1-FoodConsumption/Dashboard1,1,John Trefethen
drakkotarkin,,https://goo.gl/dzgwzL,1,Anthony J Hipp
peterempey,https://media.data.world/hh0kChm9SPCVV4F4eWtq_Table%20Calc.png,https://data.world/abh8017,1,Peter Empey
natasha-k,,https://public.tableau.com/views/MakeoverMonday2018Wk1-U_S_PerCapitaConsumptionofPoultryandLivestock/MM2018-01?:embed=y&:display_count=yes,1,Natasha K
coreyhermanson,,https://public.tableau.com/views/U_S_PerCapitaMeatConsumption_0/Dashboard?:embed=y&:display_count=yes,1,Corey Hermanson
nurulshi12,,https://public.tableau.com/profile/nurul.shi#!/vizhome/MakeoverMonday-2018Week1/MakeoverMonday2018-1?publish=yes,1,Nurul Shi
sohagmaitra,,https://public.tableau.com/profile/sohag.maitra#!/vizhome/MakeoverMondayWeek12018/Dashboard1,1,Sohag Maitra
missdataviz,,https://public.tableau.com/views/MakeoverMondayWeek1-TheRiseandFallofPoultyandLivestockintheUS/RiseandFallofPoultryandLivestock?:embed=y&:display_count=yes&publish=yes,1,Lorna Eden
mixpix,,,1,Michael Mixon
peterempey,,https://data.world/mixpix,1,Peter Empey
mixpix,https://media.data.world/OPh8l0cpSyO9CyN0cm9d_google%20data%20studio%20connector.jpg,,1,Michael Mixon
regiso,,https://public.tableau.com/profile/regis.o.connor#!/vizhome/MakeoverMondayJanuary12018-ConsumptionofPoultry/Dashboard2,1,Regis Maria O'Connor
heathermurphy,,https://data.world/mixpix,1,Heather Murphy
shannondussoye,,https://public.tableau.com/views/MakeoverMondayWk1/Week1?:embed=y&:display_count=yes,1,Shannon Dussoye
regiso,,,1,Regis Maria O'Connor
abh8017,,https://data.world/peterempey,1,abhijit singh
nanae,,https://public.tableau.com/views/PoultryandLivestockConsumtion/Howmuchhaschanged?:embed=y&:display_count=yes,1,Nanae Matsushima
peterempey,,https://data.world/abh8017,1,Peter Empey
natasha-k,,https://public.tableau.com/shared/TZTKBQ4TG?:toolbar=no&:display_count=yes,1,Natasha K
nilsm,,https://public.tableau.com/views/MeatConsumption_1/MeatConsumption?:embed=y&:display_count=yes&publish=yes,1,Nils Macher
abh8017,,https://data.world/peterempey,1,abhijit singh
vizwiz,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/b/b66cc21170992872dfd3c667b95e85fe53d29e47.jpg,https://app.powerbi.com/view?r=eyJrIjoiZTM0MWQ2MTAtZmUyYy00NWMwLWE3ZjUtZmFiYjAzY2VjZjA5IiwidCI6ImNlZjk5OTUzLWM0OTYtNGE4MS1iMDYxLTNlYmU1ODRjY2ZjYyIsImMiOjh9&pageName=ReportSection,1,Andy Kriebel
btp11f,,https://public.tableau.com/profile/brent.pristupa#!/vizhome/ChickenConsumptionTakeover/ChickenOvertake,1,Brent Pristupa
yanningwang,,https://data.world/evamurray,1,Yanning Wang
vizwiz,,https://data.world/yanningwang,1,Andy Kriebel
mixpix,,https://public.tableau.com/views/WeGottheMeats/CowsfortheWin?:embed=y&:display_count=yes&showVizHome=no&:showVizHome=no,1,Michael Mixon
peterempey,,https://data.world/mixpix,1,Peter Empey
guilourenzo,,https://public.tableau.com/views/PerCapitaConsumptioninUS/PerCapitaConsumptioninU_S?:embed=y&:display_count=yes,1,Guilherme Lourenço
surajshah,,https://public.tableau.com/views/MakeoverMonday2018W01PoultryandLivestockConsumptionintheUS/Dashboard2?:embed=y&:display_count=yes&publish=yes,1,Suraj Shah
hayleyp,,https://public.tableau.com/views/MakeoverMondayW1U_S_PerCapitaConsumptionofPoultryLivestock/USMeatConsumptionDashboard?:embed=y&:display_count=yes&publish=yes,1,Hayley Pfeifer
lunarmodule7,,https://public.tableau.com/views/AmericansatemoreChickenthanBeef/Dashboard1?:embed=y&:display_count=yes,1,LM-7
vizwiz,,https://data.world/lunarmodule7,1,Andy Kriebel
aparna-shas,,https://public.tableau.com/profile/aparna.shastry#!/vizhome/PerCapitaConsumptionofChickenandBeef/PerCapitaConsumption?publish=yes,1,Aparna Shastry
mlahoya,,https://public.tableau.com/views/MOMW1-18/Dashboard1?:embed=y&:display_count=yes&publish=yes,1,Marta Lahoya
mzaccaron,,https://public.tableau.com/views/MakeOverMondayWeek12018_0/Dashboard1?:embed=y&:display_count=yes&publish=yes,1,Martina Zaccaron
bartpopeda,,https://public.tableau.com/views/MakeoverMonday181/MakeoverMonday181?:embed=y&:display_count=yes,1,Bart?omiej Pop?da
sezbee,,https://public.tableau.com/profile/sarah.burnett#!/vizhome/PoultryvRedMeatintheUSA-PostReview/PoultryvRedMeat?publish=yes,1,Sarah Burnett
b2craig07,,https://public.tableau.com/views/PoultryandLivestock/Meat?:embed=y&:display_count=yes&publish=yes,1,Craig Petty
padmaguddati,,https://public.tableau.com/profile/padma.guddati#!/vizhome/MakeoverMondayWeek12018-MeatConsumption/BeefVsChicken?publish=yes,1,Padma Guddati
kellymcfall,,https://public.tableau.com/views/MakeoverMondayWeek12018Chicken/Chicken,1,Kelly McFall
rgauna,https://pbs.twimg.com/media/DSzv-lUVMAUVfaY.jpg:large,https://public.tableau.com/profile/rgauna#!/vizhome/U_S_PerCapitaConsumptionofPoultryandLivestock_3/D_USperCapita,1,Rosario Gauna
relatabledata,https://media.data.world/lNEY0d1uQKO0DxLkSIWE_Poultry%20Consumption%20in%20US.png,https://public.tableau.com/views/PoultryConsumptionintheUS_0/PoultryConsumptioninUS?:embed=y&:display_count=yes,1,Paul McHale
joshkushner,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/f13147e670a660ce3b8cb94c3718eace4bb755a3.png,https://public.tableau.com/views/U_S_ChickenConsumptionpercapita/U_S_ChickenConsumptionPerCapita?:embed=y&:display_count=yes&publish=yes,1,Josh Kushner
timmapuramreddy,,https://public.tableau.com/views/USAMeatAnalysis/Dashboard1?:embed=y&:display_count=yes,1,Mohan Reddy
lunarmodule7,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/a/a0226235b177459ff4bd1117dbd55edce7c78778.jpg,https://public.tableau.com/profile/lm.7#!/vizhome/Howpeopleprioritizetheirpartnerscharacteristics/Dashboard1,2,LM-7
kcmillersean,,https://data.world/vizwiz,2,Sean Miller
susanjg1,,,2,Susan Glass
vizwiz,,https://data.world/lunarmodule7,2,Andy Kriebel
vizwiz,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/e/e4dcaf8e1d06eb0681b6378036e3aba2990680e7.jpg,https://public.tableau.com/profile/andy.kriebel#!/,2,Andy Kriebel
evamurray,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/6/659c082e96acaf7def22382e7aec8e1d6bf662f8.png,https://public.tableau.com/profile/eva.murray#!/vizhome/Whatdowomenwant/WHATDOWOMENWANT,2,Eva Murray
rahadiyandpw,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/9/92740203e4cc489678154e5bfd3eb333f1fd4384.jpg,https://public.tableau.com/profile/rahadiyan.dewangga.prawira.wisesa#!/vizhome/MakeOverMonday-2018-Week2-MostImportantCharacteristicinRomanticPartnerforMalaysian/Dashboard1,2,Rahadiyan Dewangga Prawira Wisesa
avimunnangi,,https://data.world/vizwiz,2,Avinash Reddy Munnangi
vizwiz,,https://data.world/avimunnangi,2,Andy Kriebel
philipdriggs,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/b/b365ed53a3780caedd1b8be684f76c21e4e32e93.jpg,https://data.world/evamurray,2,Philip Riggs
evamurray,,https://data.world/philipdriggs,2,Eva Murray
philipdriggs,,https://data.world/evamurray,2,Philip Riggs
cbianchi,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/d/dd14aa1b46a4e122b93d1a14bd699f3d08efc5b8.jpg,https://public.tableau.com/views/CantBuyMeLove/CantBuyMeLove?:embed=y&:display_count=yes,2,Christine Bianchi
alimotion,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/e/e8f3672534473fc8d7fd4f8a2a80090317bf65c5.jpg,https://public.tableau.com/views/LooksvPersonality-MakeoverMondayWeek2v2/LooksvsPersonality,2,Ali
cklimas,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/d/d52c8ff8c9a19fd90c7995f3dcafcd26b525a5e3.jpg,https://public.tableau.com/profile/charis.klimas#!/vizhome/MM_Week2-2018_AttractiveCharacteristics/FuturePartnerCharacteristics,2,Charis Klimas
charliehtableau,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/4/4897f81741152e887db72a2fee6e90f6feef6c78.png,https://data.world/tableauing,2,Charlie Hutcheson
robcrock,,,2,Robert Crocker
mzaccaron,https://drive.google.com/uc?id=1TEX6vY1p7dFsTz10z6IuEdJHZLSLrxOy,https://public.tableau.com/views/MakeOverMondayWeek22018/Dashboard1?:embed=y&:display_count=yes&publish=yes,2,Martina Zaccaron
pamelagermain,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/0/037242a1c294a1327e3751bba9dd6088d05b5674.jpg,https://public.tableau.com/profile/pamela.germain#!/vizhome/MakeoverMonday2018Wk2-LooksvsPersonality/MM2018W2,2,Pamela Germain
regiso,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/a/a351379d0f4d68faec3a231bc463442a6f3bb1aa.png,https://public.tableau.com/profile/regis.o.connor#!/vizhome/MakeoverMondayWeek22018LooksvsPersonality/Dashboard4,2,Regis Maria O'Connor
sergey-yasinov,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/5/5b1031cc9c992104b1095ca66dcce2f75c377345.jpg,https://data.world/evamurray,2,Sergey Yasinov
kunger,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/9/96cbdf7f49fc2a058025b8c117e002e8f7e32523.jpg,http://tabsoft.co/2FbGQRt,2,Kim Unger
zaksviz,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/3/317b05bcef87a34e845d12617015e1e0b4e8b624.png,https://public.tableau.com/views/Whichcharacteristicismostimportanttowomenandmen/MostImportantCharacteristics?:embed=y&:display_count=yes&:showVizHome=no#5,2,Zak Geis
sezbee,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/e/ee1d2163d4f7be9360d3469263af6164e5e0536c.jpg,https://public.tableau.com/profile/sarah.burnett#!/vizhome/PersonalityRatings/Personality,2,Sarah Burnett
justindavisb,https://pbs.twimg.com/media/DS_MjvLVwAA_j8h.jpg:large,https://public.tableau.com/profile/justindavis#!/vizhome/TheThingsWeLookFor/TheThingsWeLookFor,2,Justin Davis
tableauing,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/7/7aac9f541585c49add20c4ddf479caa8b35ea89c.jpg,https://public.tableau.com/views/WhatdoMenandWomenpreferontheirpartnerMakeoverMonday/WhatdoMenandWomenpreferontheirpartner?:embed=y&:display_count=yes&publish=yes,2,Rodrigo Calloni
susanjg1,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/a/a02bb1a4ca4812d9c22e396c323d386c3373d315.jpg,https://public.tableau.com/profile/susan.glass5813#!/vizhome/RomanceSurvey/RomanceSurvey?publish=yes,2,Susan Glass
mikevizneros,https://pbs.twimg.com/media/DS_pFkCX0AEarjQ.jpg:large,http://tabsoft.co/2D4clMJ,2,Michael Cisneros
evamurray,,https://data.world/mzaccaron,2,Eva Murray
vizwiz,,https://data.world/philipdriggs,2,Andy Kriebel
vizwiz,,https://data.world/mikevizneros,2,Andy Kriebel
vizwiz,,https://data.world/leecarter,2,Andy Kriebel
vizwiz,,https://data.world/regiso,2,Andy Kriebel
leecarter,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/6/69aff3de3096b4c8e918cc567ad49f98d1465f5d.jpg,https://t.co/fta1nCTsuk,2,Lee Carter
lisatoms,https://view.dwcontent.com/file_view/lisatoms/makeovermonday/makeovermonday2018wk2%20-%20v2.PNG?auth=eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJwcm9kLXVzZXItY2xpZW50Omxpc2F0b21zIiwiaXNzIjoiYWdlbnQ6bGlzYXRvbXM6OjQ0MmU0YjBhLWQ0ZTEtNDg1MS04Njk0LTk1NzA3MjZkOWNmOCIsImlhdCI6MTUxNTU2NjI1Niwicm9sZSI6WyJ1c2VyIiwidXNlcl9hcGlfcmVhZCIsInVzZXJfYXBpX3dyaXRlIiwidXNlcl9hcGlfYWRtaW4iXSwiZXhwIjoxNTE1NjUyNjU2LCJnZW5lcmFsLXB1cnBvc2UiOmZhbHNlLCJ1cmwiOiI0MmQ3MTA2OTY1ODdkOTkyMjRlZmM3OWNmN2QwMjYwMDA4ZGNlM2IwIn0.l4jXOTMKx_65kmp4P_fvkwMkOb6LYuAS1FVm01kg40N6RZMyTCE5qNGZeBYhUs7YzEyhhgzTYCHFVTE25ZkKRg,https://data.world/sezbee,2,Lisa Toms
genetis,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/7/7bc47c7030902f4267633461402bd49d12b88d98.jpg,https://public.tableau.com/shared/QC7JNG46P?:display_count=yes,2,Alexander Waleczek
danifornication,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/f282b95dc7a42914de6344713d52c348dddfcabb.jpg,http://tabsoft.co/2m8Nsr9,2,Daniel Caroli
vizwiz,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/3/3a3b5187649a3c2378f3c35797c48306937664ef.jpg,https://data.world/evamurray,2,Andy Kriebel
peterempey,https://view.dwcontent.com/file_view/peterempey/makeovermonday/Personality%20Rank%20-%20Britan.png?auth=eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJwcm9kLXVzZXItY2xpZW50OnBldGVyZW1wZXkiLCJpc3MiOiJhZ2VudDpwZXRlcmVtcGV5Ojo0ZGJkZGQ1OC00MjlhLTQ5YjAtODlmNS1iMWFkYTFmNzAxMzYiLCJpYXQiOjE1MTU2MDI1NTMsInJvbGUiOlsidXNlciIsInVzZXJfYXBpX3JlYWQiLCJ1c2VyX2FwaV93cml0ZSIsInVzZXJfYXBpX2FkbWluIl0sImV4cCI6MTUxNTY4ODk1MywiZ2VuZXJhbC1wdXJwb3NlIjpmYWxzZSwidXJsIjoiN2U0OTQ1OTNkNWJkZjdjYzVmMmNjMGI0NDgzMDUyMmM0YzJmNjY5MiJ9.8i4XxuRghT_SqSmFnqAXweLroS-y8a9v_oq3IfxNaHp6T4c0x9za2r6qHvvB4wYea2yWKjAEEe8sg5HnyHuffA,https://public.tableau.com/profile/peter.empey#!/vizhome/week2RelationshipPreferanceSurvey/PersonalityRank-Britan,2,Peter Empey
vizwiz,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/3/3c2db89a38a26f00d274727ef58f6bf4389e38fa.jpg,https://www.datawrapper.de/,2,Andy Kriebel
vizwiz,,https://data.world/peterempey,2,Andy Kriebel
evamurray,,https://data.world/vizwiz,2,Eva Murray
mikevizneros,,https://data.world/genetis,2,Michael Cisneros
zendoll27,https://view.dwcontent.com/file_view/zendoll27/desired-characteristics-in-a-romantic-partner/Desired%20Characteristics.png?auth=eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJwcm9kLXVzZXItY2xpZW50OnplbmRvbGwyNyIsImlzcyI6ImFnZW50OnplbmRvbGwyNzo6ZjYxZTU4MzUtODBlMS00OGMyLTg1NGEtMTA0ZmY3NzUzMGUzIiwiaWF0IjoxNTE1NDI3MzkzLCJyb2xlIjpbInVzZXIiLCJ1c2VyX2FwaV9yZWFkIiwidXNlcl9hcGlfd3JpdGUiLCJ1c2VyX2FwaV9hZG1pbiJdLCJleHAiOjE1MTU1MTM3OTMsImdlbmVyYWwtcHVycG9zZSI6ZmFsc2UsInVybCI6ImVmZmZhYzUyZTBhZWIxNjE3MDExZjYxM2FmMDJjNWVhNjJiYWQ3ZWYifQ.K_Qj4uK3GRKKBGWH2vQGbVUyzKkI7A0dD0uacYDrN0949VDxnokUV9kaYhdVxH8cBxjpAbhwwU4AkOPpvtiQ4Q,https://public.tableau.com/views/DesiredCharacteristicsinRomanticPartner-MakeoverMonday/DesiredCharacteristics?:embed=y&:display_count=yes,2,Lindsay Betzendahl
vizwiz,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/1/1aa19615f16e73d5bb817d8719fb40a0b0a68dc8.jpg,http://www.vizwiz.com/2018/01/mm-w2-2018-highcharts.html,2,Andy Kriebel
simonbeaumont04,,https://public.tableau.com/profile/simon.beaumont#!/vizhome/MakeoverMonday-2018Week2Romanticpersonalitypreferences/MakeoverMonday-2018Week2Romanticpersonalitypreferences,2,Simon Beaumont
mattfrancis,,https://public.tableau.com/views/MakeOverMondayS3-W2/PerfectPartners?:embed=y&:display_count=yes&publish=yes,2,Matt Francis
markbradbourne,,https://public.tableau.com/views/MostImportantCharacteristics/MostImportantCharacteristics?:embed=y&:display_count=yes&publish=yes,2,Mark Bradbourne
saritarana,https://media.data.world/qpNVT1fRWmwO8YtFZcNe_Dashboard%201%20(1).png,https://public.tableau.com/profile/sarita7931#!/vizhome/MenWomen/Dashboard1,2,sarita rana
genetis,,https://data.world/mikevizneros,2,Alexander Waleczek
umarhassan,https://media.data.world/ydmO7CRyRhKwdB7CYylQ_Relationship%20and%20Intelligence%20revised.png,https://public.tableau.com/profile/umar.hassan#!/vizhome/MakeoverMonday2018-Week2-AsianandArabianRelationships-Intelligence/RelationshipandIntelligence,2,Umar Hassan
paulmorgan,https://media.data.world/mt9qYS4CSmepGsI1265g_Screen%20Shot%202018-01-08%20at%203.09.26%20PM.png,https://data.world/evamurray,2,Paul Morgan
meetnaren,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/9/9b849ef45eb226b9930b9a24d6969c596c1bcdbd.png,https://public.tableau.com/views/Romantictraits-tornadocharts/YouGov-Romantictraits?:embed=y&:display_count=yes,2,Narendran Santhanam
kevviz,https://media.data.world/yLgpklISTvXqoE7V4CQo_Important%20Characteristics%20in%20a%20Relationship.png,https://public.tableau.com/views/ImportantCharacteristicsinaRelationship/ImportantCharacteristicsinaRelationship?:embed=y&:display_count=yes&publish=yes,2,Kevin Kretzmer
ycsong21,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/f/f50d666115501912f9cf8248918184bea61a09af.jpg,https://public.tableau.com/views/partner_qualities/partner_quality?:embed=y&:display_count=yes&publish=yes,2,Young Song
marcsoares,https://pbs.twimg.com/media/DTDnkzIWsAI_Jem.jpg:large,https://public.tableau.com/views/WhatDoYouValueMostinaRomanticPartner/Dashboard?:embed=y&:display_count=yes&publish=yes,2,Marc Soares
sathyaraj,https://media.data.world/Oy7rH4rsRT6EKbXIESJm_image.png,https://public.tableau.com/views/LookVsPersonality_0/LooksvsPersonality,2,SATHYA RAJ ESWARAN
ericliong,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/2/25540e06349eb21d9e5010c6d9dfa87e7a8dd2e4.png,https://public.tableau.com/profile/ericliong#!/vizhome/MakeOverMondayMostImportantTraitsinPartners/ImportantFactors,2,Eric Liong
staticum,https://pbs.twimg.com/media/DTD9dgbW0AUICXw.jpg:large,,2,Sebastian
jtrefethen,https://pbs.twimg.com/media/DTD_s5jVAAAzhFP.jpg:large,http://sirvizalot.com/,2,John Trefethen
cgorga2009,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/1/1ac85ce19ebfb9362ad003d87a81f466d5c703ac.png,https://public.tableau.com/profile/christina.gorga#!/vizhome/PersonalityversusLooksAroundtheWorld/PersonalityxLooks?publish=yes,2,Christina Gorga
azinuddin,https://dataworld-discourseuploads-p-us-east-1.s3.amazonaws.com/original/2X/3/39d5870a1cc1cb498f74fc2e66c0b6e6f37578cd.png,https://public.tableau.com/views/MakeoverMondayWeek22018Personalities/Week22018?:embed=y&:display_count=yes,2,Nik Azinuddin Nik Ibrahim
aparna-shas,,https://data.world/mattsmithetc,2,Aparna Shastry
theneilrichards,https://media.data.world/LJaF3bR9TMWXOuHMTGMc_Dashboard%201-24.png,https://public.tableau.com/views/partnerfactors/Dashboard1?:embed=y&:display_count=yes,2,Neil Richards
